"CAPM_Beta ?@?~ -- 20171229,20161230,20151231,20141231",,,,
,,,,
?????N?X,29/12/2017,30/12/2016,31/12/2015,31/12/2014
2913 ?A?L,0.5533,0.5615,0.7303,0.9108
2915 ??????,0.885,1.2545,1.1308,0.7546
2923 ???T-KY,0.5404,0.8422,1.1189,0.8473
2929 ?^??-KY,0.0901,1.3421,1.0781,1.3745
2936 ?????F-KY,0.6714,0.8086,NA,NA
2939 ????-KY,NA,NA,NA,NA
3002 ????,0.7927,0.1713,0.3443,1.2745
3003 ???M??,1.2621,1.0585,1.2017,1.5762
3004 ???F??,0.4445,0.9676,0.573,0.7201
3005 ????,0.5171,1.0183,0.9723,0.8918
3006 ??????,1.468,1.2541,1.7029,1.4916
3008 ?j????,1.763,1.9101,1.6797,1.4243
3010 ????,0.4703,0.4535,0.5705,0.8247
3011 ???q,0.5576,0.6216,1.2566,1.3713
3013 ?????q,0.8711,1.1897,0.5677,1.5827
3014 ?p??,0.6644,0.9518,1.3914,1.4179
3015 ???~,0.5685,0.6058,0.8064,0.3161
3016 ????,1.2565,1.4522,1.2043,0.8185
3017 ?_?b,0.8974,1.1617,1.3659,1.6341
3018 ?P?},0.81,0.0662,0.4714,0.8768
3019 ????,2.4346,1.1852,1.342,1.1968
3021 ?E?W,0.4405,0.4198,0.6407,0.8681
3022 ???j?q,0.5261,0.5799,1.1557,0.8096
3023 ?H??,0.8679,0.6168,0.9394,0.7936
3024 ???n,0.6557,0.851,0.813,0.8182
3025 ?P?q,1.0515,0.7012,0.7591,0.7251
3026 ??????,1.2346,0.419,0.7458,0.6557
3027 ???F,0.6953,0.2139,1.1338,0.9729
3028 ?W?A?j,0.224,0.2306,0.4518,0.3218
3029 ?s??,1.1854,0.8739,1.2217,1.1409
3030 ?w??,0.4457,0.7288,0.642,0.64
3031 ???E,1.775,0.8815,1.0118,1.0271
3032 ???V,0.2894,1.3118,0.9924,0.9025
3033 ????,0.3835,0.2159,0.5482,0.3712
3034 ?p??,0.8677,1.2048,1.3375,0.8955
3035 ????,1.2343,1.1905,1.324,1.057
3036 ????,0.5743,0.5998,0.7603,0.7675
3037 ?Y??,0.8918,1.0767,1.3534,1.5021
3038 ???x,0.6287,1.0141,0.8879,0.8538
3040 ????,0.6094,0.2018,0.6193,0.7617
3041 ????,0.9845,1.4988,1.3381,0.9098
3042 ????,0.7051,0.8624,0.6508,1.0034
3043 ????,0.1433,0.6253,0.8069,0.7802
3044 ????,0.6281,0.4817,0.8284,0.8941
3045 ?x?W?j,0.3164,0.5457,0.3756,0.4292
3046 ????,-0.1787,0.3788,0.6615,0.9054
3047 ?T??,0.6202,0.6718,1.0153,0.9508
3048 ?q?n,0.4154,0.7574,1.2523,0.8169
3049 ?M??,0.9127,0.9351,0.8579,1.2124
3050 ???w,0.3299,0.7757,0.4558,0.8154
3051 ?O?S,0.7491,1.0374,1.3652,0.3217
3052 ????,0.2202,0.1184,0.1031,0.7631
3054 ???U?Q,0.4001,0.3262,0.7532,1.1576
3055 ??????,0.4099,0.9197,1.1659,1.1467
3056 ?`??,0.2728,0.5857,0.6303,0.5934
3057 ????,1.0922,1.1126,1.3601,1.5504
3058 ???w,0.5085,0.5267,0.8856,0.8678
3059 ??????,1.6206,1.1985,1.1216,1.4232
3060 ????,0.8895,1.2269,1.1623,0.9487
3062 ???~,1.173,0.9767,1.597,1.4649
3090 ???q?T,0.8137,0.3636,0.6884,0.7649
3094 ?p??,0.5925,1.1634,1.4865,1.3486
3130 ?@?s?|,0.2788,0.248,0.8163,0.0084
3149 ???F,1.2281,1.1046,1.4035,0.9185
3164 ????,0.8803,0.6946,1.053,0.4138
3167 ?j?q,1.1737,0.761,0.717,0.7231
3189 ????,1.089,1.0919,1.2494,1.1111
3209 ????,0.7174,0.5091,0.8811,0.9038
3229 ???g,0.9356,0.8144,0.9985,0.8812
3231 ?n??,1.0194,1.1157,1.1069,1.0244
3257 ?i?a?q,0.6498,0.6066,1.0631,1.335
3266 ?@??,-0.0339,0.4361,0.2707,NA
3296 ???w,1.2816,0.5813,0.4632,0.9834
3305 ?@?T,0.314,0.5958,1.0485,0.6957
3308 ?p?w,0.5204,0.8318,1.1239,1.3382
3311 ???u,1.0148,0.9029,1.2849,0.932
3312 ??????,0.0455,0.5255,0.6955,0.2881
3321 ?P??,0.6782,0.6895,NA,NA
3338 ????,0.8468,0.9526,0.9273,0.7626
3346 ?R?M,1.7965,NA,NA,NA
3356 ?_??,0.2044,0.5516,0.7752,0.7688
3376 ?s????,0.634,1.0209,0.9694,0.7903
3380 ????,0.6403,1.017,1.3392,1.1928
3383 ?s?@??,0.4251,1.0537,1.0405,1.1939
3406 ??????,2.6226,1.3327,1.1016,1.0829
3413 ????,2.3587,1.3993,1.4006,NA
3416 ???{?q,0.3245,0.3321,0.4186,0.6198
3419 ????,0.8345,0.6669,0.3248,1.2615
3432 ?x??,1.0429,0.6777,0.9947,0.4903
3437 ?a??,2.454,1.2709,1.9587,0.7353
3443 ???N,1.6576,1.0186,1.0044,0.7213
3450 ?p?v,1.0538,1.264,1.5499,1.717
3454 ????,0.5369,0.7294,0.9509,1.0194
3481 ?s??,1.2842,1.1777,1.4256,1.5613
3494 ????,0.2752,1.2834,0.8726,0.9203
3501 ???Q,0.8726,0.7244,0.8241,1.1465
3504 ??????,2.1806,0.9631,1.6315,1.2422
3514 ?R??,0.4503,1.2856,1.2744,1.0135
3515 ????,0.6939,0.5938,1.0208,0.6313
3518 ?f??,1.3039,0.723,0.903,1.0063
3519 ????,0.5645,1.1313,1.3477,1.0844
3528 ?w??,0.5799,0.332,0.8855,0.4345
3532 ?x????,1.5008,1.2647,1.5103,1.0037
3533 ???A,1.1199,1.0329,1.0439,1.1224
3535 ???m??,0.7654,1.2595,1.1818,0.8562
3536 ????,0.4948,0.4189,0.6043,0.6089
3545 ????,1.1694,1.4859,1.4246,0.9871
3550 ?p?o,0.268,0.4743,0.5484,0.8595
3557 ????,0.3191,0.6753,0.6959,1.2444
3561 ?@?????q,0.5271,1.1295,1.3133,0.9111
3576 ?s????,0.423,1.1212,1.3026,1.0498
3579 ?|??,0.6239,1.1234,1.2891,0.9921
3583 ????,0.7143,0.5366,0.3287,0.5415
3588 ?q??,0.9208,1.1723,1.0817,1.2836
3591 ??????,1.6905,0.8926,1.0203,1.4016
3593 ?O??,0.5337,0.312,1.0219,0.1787
3596 ????,0.8259,0.8004,1.1929,0.9324
3605 ???P,0.8359,1.3754,1.0681,1.0387
3607 ???],0.4712,0.7338,1.0366,0.5317
3617 ????,0.7899,0.9928,0.9547,0.4271
3622 ?v??,1.3012,0.7044,1.2313,1.3791
3645 ?F??,1.4704,0.6944,0.9272,1.2843
3653 ????,1.7977,1.2055,1.1854,1.731
3661 ?@??-KY,1.3517,1.2113,0.9326,0.7934
3665 ?T?p-KY,1.2055,1.0549,1.5381,1.6616
3669 ???i,0.5973,0.4057,0.6522,0.8733
3673 TPK-KY,1.8224,1.4623,1.6597,1.1366
3679 ?s????,0.7119,0.7757,0.4425,0.6874
3682 ?????q,0.5276,1.0556,1.177,0.6473
3686 ?F??,0.6405,1.1249,1.5632,0.9237
3694 ????,0.7353,1.2104,1.0481,0.956
3698 ???F,1.2814,1.0439,1.4641,1.0134
3701 ?j????,-0.0506,-0.4372,-0.0156,0.1611
3702 ?j?p?j,0.722,0.7405,0.8694,0.9301
3703 ?Y??,0.57,0.4714,0.6742,0.2608
3704 ?X????,1.0785,0.8175,1.0785,1.2936
3705 ???H,0.3452,0.4419,0.5982,0.6343
3706 ???F,0.5535,1.0445,1.304,0.6936
3708 ?W?n????,0.7677,1.4946,NA,NA
3711 ??????????,NA,NA,NA,NA
4104 ????,0.3525,0.5897,0.8083,0.5897
4106 ????,0.5287,0.8042,1.0347,0.615
4108 ?h?S,0.5956,1.0114,1.1109,0.8758
4119 ???I,0.594,0.9697,0.9127,0.6249
4133 ?????k,0.4615,0.7794,0.7347,0.8303
4137 ?R??-KY,0.9087,0.951,1.0088,1.6079
4141 ?s?O-KY,0.4846,1.3372,1.1972,1.179
4142 ??????,0.1503,0.8134,1.0801,0.3633
4144 ?d?p-KY,0.4077,0.7818,0.9274,0.7581
4148 ???t????-KY,0.1917,NA,NA,NA
4155 ?T?M,NA,NA,NA,NA
4164 ???~??,0.4549,0.5453,0.7464,0.8487
4190 ???n-KY,0.8112,0.8908,0.2122,NA
4306 ???w,0.2009,0.4602,0.3713,0.5553
4414 ?p??,0.1923,0.513,0.4921,1.0909
4426 ?Q??,0.8696,1.2972,1.4629,0.7523
4438 ?s?V,0.5984,2.0183,NA,NA
4526 ?F?x,0.3331,0.5645,0.5754,0.7333
4532 ????,0.487,0.529,0.6967,0.5069
4536 ????,0.2284,0.497,0.3821,0.8147
4545 ????,0.6209,1.2289,NA,NA
4551 ??????,0.9503,1.0556,0.8795,NA
4552 ?O?F-KY,0.6968,1.2397,NA,NA
4555 ????,0.3275,0.6092,0.7302,NA
4557 ???s-KY,0.8383,0.464,1.2261,NA
4560 ?j?H-KY,1.0047,NA,NA,NA
4562 ?o?~,0.0973,NA,NA,NA
4566 ?????u?~,NA,NA,NA,NA
4720 ?w?W,0.0864,0.1102,0.4628,0.2202
4722 ??????,0.367,0.5314,0.8841,0.4242
4725 ?H????,0.8743,1.2316,1.443,1.1726
4737 ???s,0.4149,0.8505,0.9188,0.5398
4739 ?d??,2.0819,1.2495,1.6371,1.0771
4746 ?x??,0.4844,0.764,0.7804,0.8347
4755 ?T????,0.4426,0.7692,0.5763,0.5364
4763 ????-KY,0.7565,0.7157,-0.3043,NA
4764 ????,NA,NA,NA,NA
4807 ????-KY,0.4447,NA,NA,NA
4904 ????,0.3231,0.4289,0.3679,0.3985
4906 ????,1.0959,0.9836,1.3574,1.0093
4912 ?p?w????-KY,1.155,0.5026,0.6535,1.1019
4915 ?P??,1.4113,1.2117,1.0607,1.4914
4916 ???Y??,0.631,1.4603,1.2517,1.3135
4919 ?s??,1.7006,1.0708,1.1232,1.1843
4927 ????-KY,0.3037,0.8551,0.623,0.5202
4930 ???P??,0.3819,0.9163,1.3874,0.6348
4934 ????,0.7157,1.1883,1.3214,1.1899
4935 ?Z?L-KY,0.5006,1.321,0.8999,0.9378
4938 ?M??,1.2277,1.6834,1.2512,1.0424
4942 ????,0.2389,0.4463,0.5908,0.8
4943 ?d??-KY,1.083,0.526,NA,NA
4952 ???q,0.9113,0.8048,1.0079,0.9778
4956 ???b,1.233,1.1141,1.3032,1.395
4958 ????-KY,1.1849,1.6169,1.4327,1.2526
4960 ?_????,1.4383,1.189,1.0541,1.2639
4968 ???n,1.7208,1.0655,-1.4566,NA
4976 ????,1.9791,0.6465,0.6374,0.3673
4977 ???F-KY,1.489,0.9934,0.9493,1.259
4984 ????-KY,0.9358,1.1538,1.1386,1.3333
4994 ???_,0.7023,1.172,0.4976,1.1796
4999 ????,0.3028,1.0759,0.9867,0.9214
5007 ?T?P,0.3614,0.2826,0.7344,0.608
5203 ?T?s,0.5449,0.3808,0.5904,0.3645
5215 ????-KY,0.2164,0.5426,1.0824,1.0991
5225 ?F??-KY,0.3798,0.9536,0.979,0.6536
5234 ?F??????,0.9438,0.5699,0.744,1.0328
5243 ?A??-KY,1.6666,1.1284,1.2269,0.7889
5258 ?i??,0.5979,NA,NA,NA
5259 ?M?f,-0.7455,-0.032,0.8085,1.0035
5264 ?Z??-KY,1.1359,1.2193,1.4467,1.0498
5269 ????,1.8479,1.6058,1.3848,1.4151
5284 jpp-KY,0.2295,0.6255,0.3181,0.8104
5285 ???M,0.5438,0.5316,0.3636,0.1119
5288 ????-KY,0.6701,1.0576,1.332,1.0463
5305 ???n,1.3092,0.8133,1.2217,0.6731
5388 ???U,0.7024,0.6986,0.6148,1.0259
5434 ?R?V,0.7913,0.7403,0.6781,0.8233
5469 ?v?t??,1.4059,0.9901,1.2465,0.8869
5471 ?Q??,0.8033,0.7432,0.8563,0.7176
5484 ?z??,0.3144,0.8649,0.7287,0.5464
5515 ????,0.4391,0.2412,0.5542,0.3836
5519 ???j,0.3908,0.2805,0.5529,0.3535
5521 ?u?H,0.1902,0.1875,0.3856,0.2714
5522 ????,0.4079,0.4638,0.7495,0.8885
5525 ????,0.1132,0.3084,0.3138,0.2329
5531 ?m?L,0.7971,0.6774,0.9114,0.6075
5533 ????,0.0582,0.1052,0.409,0.2728
5534 ???i,0.5913,0.7597,0.6762,0.4278
5538 ?F??-KY,0.2762,0.4793,0.6033,0.5479
5607 ??????,0.2764,0.3904,0.3745,0.8448
5608 ?|????,0.6934,0.3378,0.6959,0.5728
5706 ????,-0.0347,0.353,0.8552,0.6417
5871 ????-KY,0.736,0.9087,1.2115,0.7694
5880 ?X?w??,0.4932,0.6382,0.6045,0.4964
5906 ?x?n-KY,-0.1483,-0.2186,0.6862,0.6501
5907 ?j?v-KY,0.6646,0.7359,1.2467,0.9437
6005 ?s?q??,0.7987,0.6782,0.7919,0.7394
6024 ?s?q??,0.3881,0.3622,0.345,0.2737
6108 ?v??,0.3837,0.6852,0.7375,0.8129
6112 ?E??,0.2784,0.4021,0.4787,0.5594
6115 ????,0.2442,0.4193,0.5319,0.3338
6116 ?m??,0.3194,0.8807,1.3569,1.0861
6117 ???s,0.047,-0.0602,0.5299,1.2758
6120 ?F?B,1.5128,1.1502,1.1594,1.1666
6128 ?W??,0.0253,0.1378,0.2887,0.3865
6131 ?y?J,0.357,0.9127,0.583,0.8423
6133 ????,0.166,0.1846,0.6534,1.1391
6136 ?I???S,0.1827,0.2356,0.4529,0.4043
6139 ????,1.281,1.1534,0.5376,0.3988
6141 ?f??,1.2549,0.488,0.626,0.9027
6142 ???l,0.45,0.8417,0.978,0.9931
6145 ?l??,1.7816,1.1879,0.9599,1.143
6152 ???@,0.7516,0.6281,0.9711,0.8239
6153 ???p?q,1.0739,1.2326,1.2271,1.4237
6155 ?v?_,1.1804,0.5801,0.6344,1.2532
6164 ????,0.7379,0.5935,0.8801,1.027
6165 ????,1.6394,0.3273,0.3007,0.3567
6166 ????,0.779,0.9344,0.9753,1.0631
6168 ????,1.4486,0.8411,1.355,1.4746
6172 ????,-0.3563,0.7058,0.0509,0.7554
6176 ????,1.0951,1.4292,1.1611,1.4181
6177 ?F?R,0.6464,0.3255,0.7121,0.4482
6183 ???T,0.1158,0.2392,0.3523,0.5034
6184 ?j???q,0.271,0.46,0.2459,0.1113
6189 ????,0.16,0.3177,0.5764,0.5553
6191 ??????,1.0656,0.8611,1.1226,0.8158
6192 ????,0.4078,0.5791,0.5097,0.5736
6196 ?|??,0.9884,0.8279,1.0804,0.7827
6197 ?????X,0.5833,0.6625,1.1734,1.3962
6201 ?????q,0.2891,0.3282,0.2719,0.192
6202 ???s,0.846,0.5708,1.0907,1.2044
6205 ???Y,0.7136,0.7686,0.6923,1.0695
6206 ????,0.4877,0.5822,0.9241,1.1977
6209 ??????,1.8993,1.082,1.1109,1.0052
6213 ?p?Z,1.5692,0.6914,0.704,0.7952
6214 ????,0.6297,0.7246,1.2294,1.3368
6215 ?M??,1.3832,1.0452,1.069,0.9513
6216 ?~??,0.4229,0.5864,0.6869,0.9073
6224 ?E??,0.6165,0.5317,0.5483,0.9398
6225 ???v,0.2679,-0.1283,0.471,0.5491
6226 ????,1.4171,0.784,0.914,0.6062
6230 ?W??,1.0331,1.4293,1.3324,1.0418
6235 ????,0.9019,0.8369,0.7727,0.9218
6239 ?O??,0.8532,0.7795,0.8633,0.807
6243 ???N,1.3241,1.3239,1.7527,1.071
6251 ?w?o,0.8577,0.7848,0.6732,0.9074
6257 ????,0.8643,0.7749,1.0839,1.371
6269 ?x?p,1.7793,1.2666,1.5825,1.0476
6271 ?P?Y?q,1.5178,0.6467,0.899,1.1229
6277 ????,0.3656,0.4339,0.7862,1.0077
6278 ?x????,1.0371,0.7066,0.8909,0.578
6281 ?????q,0.1465,0.2043,0.372,0.423
6282 ?d??,0.5274,1.0804,1.611,1.6211
6283 ?E?w,1.5202,0.37,0.6781,1.3974
6285 ????,0.9306,1.0117,1.1814,1.1296
6288 ?p??,NA,NA,NA,NA
6289 ???W,1.1172,0.3016,0.4984,0.3784
6405 ????,0.792,0.6307,1.2573,0.8346
6409 ???G,0.1645,0.4771,0.774,1.1911
6412 ?s?q,0.5084,0.5263,0.7385,0.3382
6414 ???~,1.2673,1.4062,1.1797,0.9194
6415 ???O-KY,0.4791,0.3566,1.0952,1.3217
6416 ???R?q?q,NA,NA,NA,NA
6422 ?g??-KY,1.3045,0.9661,1.2402,NA
6431 ???R-KY,0.8487,0.4102,0.8852,NA
6442 ???t,0.9489,0.963,1.2799,NA
6443 ????,0.4747,1.1879,1.1849,NA
6449 ????,1.4431,0.7703,0.5282,NA
6451 ?T??-KY,1.4491,1.6665,1.7459,NA
6452 ?d??-KY,0.4306,1.1979,0.9039,NA
6456 GIS-KY,2.3617,1.9955,1.0073,NA
6464 ?x????,-0.056,0.4073,NA,NA
6477 ?w??,0.1956,0.4779,NA,NA
6504 ?n??,0.2604,0.6433,0.8931,0.6621
6505 ?x????,1.2263,1.1049,0.9186,0.7103
6525 ????-KY,0.9468,0.6301,NA,NA
6531 ?R??,0.5321,0.6294,NA,NA
6533 ??????,2.3488,NA,NA,NA
6541 ????-KY,0.1424,NA,NA,NA
6552 ?????q,0.7321,NA,NA,NA
6573 ?i??-KY,1.4179,NA,NA,NA
6579 ????,0.6582,NA,NA,NA
6581 ???p,NA,NA,NA,NA
6582 ????,0.3925,NA,NA,NA
6591 ???O-KY,NA,NA,NA,NA
6605 ???_,0.3839,0.7195,0.9136,1.2027
6625 ????,NA,NA,NA,NA
8011 ?x?q,1.1503,0.7925,1.4555,1.129
8016 ????,1.0189,1.1583,1.0902,0.9985
8021 ?y?I,0.6941,0.9012,1.1017,1.0245
8033 ?p??,-0.0201,0.472,0.6566,0.867
8039 ?x?i,1.3239,0.6785,1.012,0.9842
8046 ?n?q,0.7662,0.7724,1.7193,1.3394
8070 ????,0.5075,0.709,0.6253,0.8425
8072 ????,0.4727,0.2717,0.6711,0.5628
8081 ?P?s,0.6862,1.0644,1.0007,0.9585
8101 ???a,0.3158,0.4945,0.6413,1.1466
8103 ?v??,0.7564,0.7482,1.1765,1.0494
8105 ????,1.0124,0.8554,1.3571,1.3641
8110 ???F,1.0148,0.8815,1.0023,1.1922
8112 ???W,1.3263,0.8002,0.8561,1.036
8114 ?????q,0.317,0.6005,0.8356,1.4787
8131 ??????,0.6541,0.6264,0.9613,1.3201
8150 ?n?Z,0.6648,0.5862,0.7672,0.7765
8163 ?F??,0.9676,0.7775,1.0337,1.0573
8201 ?L??,1.0764,0.2455,0.7412,0.5094
8210 ????,0.5546,0.8676,0.9793,1.0145
8213 ???W,0.8497,0.7582,0.916,1.0492
8215 ??????,1.0214,1.1188,1.1744,1.4969
8222 ?_?@,0.5304,0.9384,0.9723,NA
8249 ????,0.8804,0.5154,0.898,1.0331
8261 ?I??,1.1951,1.1198,1.0933,1.0688
8271 ?t??,0.813,0.7747,0.9417,0.9603
8341 ????,0.6062,0.8898,1.2861,NA
8374 ???@,1.3341,0.9034,1.1985,0.9127
8404 ???M???~-KY,0.982,0.9577,1.2052,0.5796
8411 ???s-KY,0.2272,0.508,0.6077,0.5242
8422 ?i????,0.2035,0.3555,0.6147,0.588
8427 ????-KY,0.3419,0.3969,0.834,0.1943
8429 ???R-KY,0.9215,1.0465,1.1308,1.3504
8442 ????-KY,0.2271,1.0989,NA,NA
8443 ???G,0.2346,0.4026,0.6927,1.1141
8454 ?I???C,0.1244,0.6357,0.76,NA
8463 ??????,0.2652,0.6603,0.7138,NA
8464 ????,0.9467,0.8994,NA,NA
8466 ???N?N-KY,0.2081,0.5997,NA,NA
8467 ?i?O-KY,0.2965,0.5362,NA,NA
8473 ?s?L??,0.6297,0.3988,NA,NA
8478 ?F???C??,NA,NA,NA,NA
8480 ???@-KY,0.4691,NA,NA,NA
8481 ?F??,0.4117,NA,NA,NA
8488 ?N??-KY,0.3573,NA,NA,NA
8497 ?p?s,NA,NA,NA,NA
8499 ????-KY,NA,NA,NA,NA
8926 ?x?T?q,0.1932,0.257,0.6777,0.2153
8940 ?s???a,0.28,0.4199,0.447,0.4233
8996 ???O,0.7616,0.9289,1.1314,1.1415
9103 ???w????-DR,0.4312,0.371,0.6614,0.341
910322 ?d?v??-DR,0.4866,0.3386,0.3742,0.5815
910482 ?t???B-DR,0.6825,0.3981,0.7235,0.3555
9105 ?????_-DR,0.4376,0.4668,0.9963,0.6144
910708 ???j??-DR,-0.33,-0.4387,0.0043,0.6703
910861 ???{-DR,0.6015,0.7968,1.0647,0.4744
9110 ?V?n??-DR,0.2435,0.1955,0.7464,0.271
911608 ????-DR,0.767,0.0395,0.0284,0.0394
911616 ???d-DR,0.0513,0.2826,0.9091,0.8591
911619 ????-DR,-1.5012,0.3665,0.1693,0.0888
911622 ???E??-DR,-0.0739,-0.0299,-0.0692,-0.0188
911868 ?P??????-DR,0.1779,0.2325,0.7242,-0.0429
912000 ???T??-DR,0.5094,0.3888,0.9313,0.2566
912398 ????-DR,-0.0941,0.2203,0.1743,0.1907
9136 ????-DR,0.662,0.7548,0.9056,0.1903
9157 ????????-DR,0.0747,0.4613,0.6879,0.5614
9188 ????-DR,0.2309,0.2408,0.3851,0.3421
9802 ????-KY,0.6924,0.7654,1.0436,0.7986
9902 ?x??,0.686,0.6546,0.9058,0.3
9904 ?_??,0.7108,1.2166,1.3184,1.1323
9905 ?j??,0.2411,0.1807,0.5438,0.4587
9906 ?Y????,0.783,1.3994,0.4164,0.2836
9907 ???@??,0.594,0.7596,0.8903,1.1733
9908 ?j?x?_,0.0614,0.221,0.1212,0.1736
9910 ????,0.7307,1.5315,1.1753,0.5424
9911 ????,0.7711,0.7154,0.5916,0.7584
9912 ???p,0.1728,0.2734,0.5535,0.4689
9914 ???Q?F,0.4314,1.3522,1.0913,0.9876
9917 ???O,0.2234,0.1763,0.3536,0.2714
9918 ?Y???M,0.0647,0.194,0.2403,0.2713
9919 ?d????,0.1983,0.4005,0.7113,0.2647
9921 ???j,0.7045,1.0841,1.2149,0.7551
9924 ????,0.1736,0.5916,1.2556,0.4036
9925 ?s?O,0.2138,0.1851,0.3276,0.4528
9926 ?s??,0.1523,0.1401,0.2245,0.2102
9927 ????,0.4693,0.4127,0.5251,0.4035
9928 ????,0.2606,0.0875,0.4832,0.5996
9929 ???B,-0.135,0.1076,0.1424,0.3142
9930 ???p????,0.1693,0.3024,0.6025,0.4734
9931 ?Y??,0.0181,0.0628,0.4375,0.234
9933 ????,0.2398,0.6131,0.7181,1.0195
9934 ???M,1.0711,0.7565,0.9175,0.7491
9935 ?y???I,0.1825,0.2832,0.7269,0.874
9937 ????,0.0707,0.0554,0.0139,0.1873
9938 ???M,1.0546,1.3256,1.1652,1.1081
9939 ????,0.6749,0.5328,0.7069,0.6229
9940 ?H?q,0.6636,0.3176,0.5531,0.2991
9941 ????,0.8505,0.3445,0.7568,0.6555
9942 ?Z??,0.4394,0.607,0.7127,1.012
9943 ?n???},0.242,0.4252,0.897,0.367
9944 ?s?R,0.0398,0.6983,0.7884,1.4962
9945 ?????s,0.7832,1.0252,1.1084,0.5717
9946 ?T?o?a??,0.2343,0.799,0.9816,0.8647
9955 ???s,0.1446,0.109,0.5875,0.2297
9958 ?@????,0.2152,0.4531,0.4216,0.38
